player_id,player_name,age
P00055,Rodri Fati,26
P00070,Ansu Le Normand,19
P00066,Gavi Ramos,18
P00073,Pedro Cubarsi,20
P00059,Alvaro Oyarzabal,23
P00072,Dani Gavi,21
P00058,Rodri Laporte,27
P00078,Ansu Fati,27
P00056,Pedro Torres,24
P00074,Gavi Le Normand,25
P00069,Ferran Cubarsi,24
P00071,Marco Mikel,18
P00076,Alvaro Gavi,28
P00067,Rodri Alonso,25
P00057,Gavi Asensio,22
P00062,Marco Carvajal,33
P00077,Ferran Morata,26
P00064,Aymeric Yamal,27
P00061,Ansu Alba,28
P00068,Alvaro Llorente,19
P00060,Ferran Pau,35
P00075,Rodri Mikel,25
P00063,Dani Garcia,28
P00065,Pedro Riquelme,24
P00053,Pedro Gavi,36
P00054,Gavi Morata,27
P01225,Lyle Mvala,38
P01241,Sphephelo Mbatha,27
P01243,Percy Mkhize,24
P01240,Mothobi Xoki,25
P00743,Bryan Leiton,27
P00748,Oscar Campbell,29
P00732,Keylor Calvo,27
P00731,Bryan Duarte,28
P00730,Joel Borges,25
P01198,Omar Hegazi,26
P01207,Amr Afsha,25
P01215,Mahmoud Ibrahim,24
P01206,Mahmoud Soliman,24
P01201,Omar Elsaid,26
P01217,Mohamed Gomaa,28
P01219,Trezeguet Ibrahim,25
P01205,Mohamed Hassan,21
P01212,Ahmed El-Sayed,23
P01204,Mostafa Attia,23
P01200,Mohamed Elneny,28
P01213,Mostafa Gomaa,29
P01211,Trezeguet Said,33
P01202,Trezeguet Ashour,25
